id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
73012,Kent at Victoria Bridge,183.0,351700.0,493100.0,54.33117,-2.74424,Kent,Victoria Bridge,,EA-CL,730507,73,1974-01-29,,VA,,,,true,true,true,true,false,false,false,true,false,false,false,false,false,,1993-05-06,2020-09-30,8.035,0.128,2010-11-03,2010-11-03,286.0,2015-12-05,2015-12-05,0.819,2.39,4.28,19.1,26.4,0.37,10010,9580,95.704,1974-01-29,,144.086,44.1,106.8,226.6,458.2,815.5,1824,1787,0.0588,0.0465,0.8321,0.0436,0.0122,0.051,0.0055,0.698,0.2244,0.0184,,0.0717,0.9283,,0.0154,0.0467,0.3489,0.71,0.496,0.972,165.5,39.88,55.7,77.2,11.7,25.78,13.59,257,177,0.17,44.7,183.19,1.027,0.762,0.0711,0.0037,,,0.0051,0.619,0.207,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
73013,Rothay at Miller Bridge House,64.0,337125.0,504195.0,54.42927,-2.97069,Rothay,Miller Bridge House,40.8,EA-CL,735022,73,1966-01-01,,VA,80.0,,,true,false,false,false,false,false,false,true,false,true,false,false,true,N,1976-01-01,2021-09-30,4.339,0.085,1976-08-26,1976-08-26,141.0,2015-12-05,2015-12-05,0.351,1.18,2.211,10.26,14.99,0.31,16710,15315,91.652,,,,42.7,88.7,321.0,587.0,874.0,2433,2392,0.1035,0.0285,0.7757,0.0694,0.0063,0.1347,0.0094,0.5732,0.2546,0.0103,,,1.0,,,0.0162,0.1475,0.71,0.409,0.866,305.9,51.22,71.1,98.6,13.1,14.91,7.63,329,191,0.18,44.5,59.51,0.619,0.731,0.0393,0.002,,,0.0035,,,gdf;gmf;cmr;cdr;cdr-d
73014,Brathay at Jeffy Knotts,57.4,335965.0,503406.0,54.42204,-2.9884,Brathay,Jeffy Knotts,41.9,EA-CL,735123,73,1970-01-01,,VA,48.0,,,true,true,false,true,false,false,false,true,false,false,false,false,false,N,1976-01-01,2021-09-30,5.015,0.005,1976-09-02,1976-09-07,161.1,2009-11-19,2009-11-19,0.335,1.152,2.347,12.91,18.53,0.24,16710,15337,91.783,1970-07-28,,86.986,43.9,89.5,236.6,580.0,893.2,2867,2757,0.1044,0.0219,0.7937,0.0571,0.0065,0.2066,0.012,0.5782,0.1927,0.0032,,,1.0,,,0.0459,0.1137,0.71,0.435,0.907,299.8,49.37,84.4,122.2,14.4,15.39,9.03,291,96,0.17,45.1,56.58,1.356,0.747,0.0751,0.0013,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
73015,Keer at High Keer Weir,48.0,352320.0,471893.0,54.14065,-2.73133,Keer,High Keer Weir,7.7,EA-CL,733020,73,1971-01-01,,FV,,,,true,true,true,true,false,false,true,true,false,false,false,false,false,N,1976-01-01,2021-09-30,0.618,0.022,1976-08-27,1976-08-27,18.3,2015-12-05,2015-12-05,0.063,0.165,0.306,1.43,2.28,0.39,16710,12269,73.423,1971-05-18,,12.421,8.9,30.4,92.9,149.1,271.9,1195,1158,0.1252,0.0747,0.773,,0.0237,0.1384,0.018,0.8158,0.0135,0.0121,,1.0,,,0.0808,,0.7765,0.6,0.486,0.976,83.0,35.79,41.7,53.5,10.5,11.48,6.15,93,265,0.13,8.9,30.04,0.764,0.788,0.0744,0.0006,,,0.0029,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
73016,Trout Beck at Calgarth,24.49,339612.0,499883.0,54.39083,-2.93148,Trout Beck,Calgarth,40.5,EA-CL,735328,73,1995-11-07,,VA,,,29.0,true,false,false,false,false,false,false,false,false,false,false,false,false,N,2003-07-01,2020-02-08,1.694,0.025,2003-09-01,2003-09-01,44.46,2015-12-05,2015-12-05,0.145,0.49,0.866,4.065,6.001,0.31,6067,5953,98.121,,,,43.0,142.9,326.6,583.3,780.7,2144,2213,0.0792,0.0268,0.8018,0.0817,0.001,0.0664,0.0017,0.4624,0.4644,0.0051,,,1.0,,,0.1241,0.2836,0.71,0.394,1.0,280.3,49.26,68.5,93.2,13.0,13.91,8.42,344,206,0.24,43.0,24.36,0.639,0.726,0.0403,0.0002,,,0.0004,,,gdf;gmf;cmr;cdr;cdr-d
73017,Kent at Bowston,70.61,349935.0,496525.0,54.36177,-2.77196,Kent,Bowston,,EA-CL,730120,73,2000-10,,VA,,,,true,true,true,true,false,false,false,true,false,false,false,false,false,,1999-10-01,2021-09-30,3.938,0.176,2018-07-27,2018-07-27,131.0,2015-12-05,2015-12-05,0.387,1.2,2.12,9.21,12.9,0.36,8036,8036,100.0,1999-10-01,,66.334,57.7,116.2,239.4,471.8,815.5,1902,1919,0.0565,0.0633,0.8219,0.0439,0.0045,0.0562,0.0032,0.64,0.2849,0.01,,0.0014,0.9986,,0.0012,0.0641,0.186,0.71,0.454,0.948,177.5,43.29,59.5,82.5,12.2,20.66,10.06,272,169,0.21,57.7,70.62,0.82,0.819,0.0602,0.0015,,,0.0015,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
74001,Duddon at Duddon Hall,85.66,319526.0,489585.0,54.29552,-3.23795,Duddon,Duddon Hall,14.8,EA-CL,740102,74,1968-01-01,,CB,160.0,105.0,14.5,true,true,true,true,false,false,true,true,false,false,false,false,true,SP,1968-03-01,2021-09-30,5.174,0.147,1976-09-07,1976-09-07,162.0,2009-11-19,2009-11-19,0.465,1.38,2.69,12.6,17.7,0.29,19572,19572,100.0,1967-12-14,,120.913,17.5,131.8,296.1,541.1,820.8,2351,2267,0.0855,0.0166,0.7256,0.1611,0.0047,0.1375,0.0089,0.6425,0.2072,0.0006,,,1.0,,,0.2032,0.0193,0.71,0.337,0.985,210.3,53.69,62.4,84.0,12.7,22.05,11.09,315,156,0.09,19.1,85.25,0.793,0.866,0.0465,0.0002,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
74002,Irt at Galesyke,44.2,313558.0,503823.0,54.42247,-3.33376,Irt,Galesyke,54.2,EA-CL,743008,74,1967-01-01,,FV,31.0,,14.6,true,true,false,true,false,false,false,true,false,false,false,false,false,SPI,1967-12-01,2021-09-30,3.462,0.0,2013-10-01,2013-10-01,47.09,1968-10-02,1968-10-02,0.446,1.439,2.48,7.38,9.53,0.47,19663,19622,99.791,1967-12-08,,21.712,54.1,71.7,383.2,702.9,973.1,2738,2629,0.0277,0.0012,0.8482,0.0426,0.0031,0.0426,0.003,0.5593,0.3269,0.0014,,,1.0,,,,0.0776,0.71,0.367,0.746,384.6,52.21,81.9,115.2,14.1,13.07,7.84,377,218,0.2,55.2,43.99,0.542,0.855,0.0281,0.0003,,,0.0001,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
74003,Ehen at Bleach Green,44.2,308387.0,515393.0,54.52551,-3.41702,Ehen,Bleach Green,110.4,EA-CL,744111,74,1973-01-01,,CC,,41.0,9.7,true,true,false,true,false,false,false,true,false,false,false,false,false,SPI,1973-08-01,2021-09-30,2.786,0.124,1976-08-22,1976-08-23,80.2,2009-11-19,2009-11-19,0.407,0.814,1.45,6.65,9.21,0.37,17593,17532,99.653,1973-10-24,,33.995,110.9,123.2,368.7,633.5,893.6,2567,2542,0.1407,0.001,0.5987,0.1786,0.0022,0.2316,0.0065,0.3015,0.3872,0.0039,,,1.0,,0.0307,0.0024,0.0952,0.71,0.417,0.74,323.3,41.89,68.6,94.9,13.2,16.28,7.59,372,291,0.21,111.1,44.59,0.528,0.895,0.0323,0.0,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
74005,Ehen at Braystones,125.5,300909.0,506051.0,54.44017,-3.52938,Ehen,Braystones,10.1,EA-CL,744312,74,1974-01-01,,FV,90.0,,11.5,true,true,false,true,false,false,false,true,false,true,false,false,true,SP,1974-01-01,2021-09-30,5.373,0.0,2013-10-01,2013-10-01,75.9,2009-11-19,2009-11-19,0.99,1.94,3.15,12.2,16.9,0.43,17440,17068,97.867,1973-10-24,,68.95,9.5,75.3,157.6,500.0,893.6,1817,1753,0.1015,0.0978,0.6629,0.0824,0.0247,0.1674,0.1145,0.5059,0.1545,0.0316,0.066,0.0576,0.5465,0.3299,0.0355,0.0165,0.4918,0.69,0.497,0.897,165.8,35.35,51.6,69.2,11.7,38.52,20.56,219,241,0.17,9.6,129.5,0.997,0.783,0.0648,0.0119,0.659,0.562,0.0111,0.764,0.53,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
